
-402142.8090482268598862,176931.80054118210682645,
-402147.02316357416566461,176930.39583606633823365,
-402145.0781872600200586,176932.98913781854207627,
-402140.43185495398938656,176934.28578869462944567,
-402164.74405888089677319,176941.95763971155975014,
-402165.17627583962166682,176940.76904307515360415,
-402187.4354492126731202,176955.24831119159352966,
-402186.67906953493366018,176956.22079934866633266,
-402208.18186323024565354,176969.83563354771467857,
-402196.18784262629924342,176984.09879318482126109,
-402140.86407191271428019,176939.04017524034134112,
-402136.00163112732116133,176936.12271076912293211,
-402138.05466168117709458,176932.98913781854207627,
-402136.86606504471274093,176945.73953810019884259,
