
-401999.89877975272247568,177017.25769319353275932,
-401996.74033543915720657,177015.36262660537613556,
-401994.84526885102968663,177018.36314870326896198,
-401991.37098010606132448,177016.15223768376745284,
-402018.84944563411409035,176987.72623886168003082,
-402062.12013272993499413,177015.83639325242256746,
-402030.69361180998384953,177066.37150226946687326,
-401996.42449100781232119,177044.73615872152731754,
-401990.42344681202666834,177053.73772501520579681,
-401968.94602547975955531,177039.36680338848964311,
-401985.21201369463233277,177019.15275978166027926,
-401988.37045800819760188,177021.20574858548934571,
