
-401999.9777408602531068,177017.37613485506153665,
-401994.92422995856031775,177018.00782371778041124,
-401996.81929654668783769,177015.7969126982789021,
-401991.13409678224707022,177016.11275712965289131,
-401987.97565246868180111,177021.00834581567323767,
-401984.817208155116532,177018.48159036482684314,
-401970.28836431272793561,177040.11693391276639886,
-401990.18656348821241409,177053.8561666767927818,
-401996.81929654668783769,177044.53875595176941715,
-402030.61465070187114179,177067.27955500944517553,
-402062.19909383752383292,177016.11275712965289131,
-402019.086328957346268,176987.52883609186392277,
